"","processStatusName","processStatus","CountryName","id","COOName"
"1","Active","1","Sudan","Cda433","Chad"
"2","Active","1","Sudan","Cda322","Chad"
"3","Active","1","Sudan","Cda382","Chad"
"4","Active","1","Sudan","Cda466","Chad"
"5","Active","1","South Sudan","Cda138","Chad"
"6","Active","1","Sudan","Cda2","Chad"
"7","Active","1","Sudan","Cda76","Chad"
"8","Active","1","Sudan","Cda60","Chad"
"9","Active","1","Sudan","Cda274","Chad"
"10","Active","1","South Sudan","Cda337","Chad"
"11","Active","1","South Sudan","Cda37","Chad"
"12","Active","1","South Sudan","Cda40","Chad"
"13","Active","1","Sudan","Cda224","Ethiopia"
"14","Active","1","Sudan","Cda351","Ethiopia"
"15","Active","1","Sudan","Cda378","Chad"
"16","Active","1","Sudan","Cda461","Chad"
"17","Active","1","Sudan","Cda184","Ethiopia"
"18","Active","1","South Sudan","Cda446","Ethiopia"
"19","Active","1","Sudan","Cda311","Chad"
"20","Active","1","South Sudan","Cda372","Ethiopia"
"21","Active","1","Sudan","Cda103","Ethiopia"
"22","Active","1","Sudan","Cda172","Ethiopia"
"23","Active","1","South Sudan","Cda396","Chad"
"24","Active","1","South Sudan","Cda500","Chad"
"25","Active","1","Sudan","Cda267","Ethiopia"
"26","Active","1","Sudan","Cda155","Chad"
"27","Active","1","South Sudan","Cda306","Chad"
"28","Active","1","Sudan","Cda366","Chad"
"29","Active","1","Sudan","Cda46","Chad"
"30","Active","1","Sudan","Cda210","Chad"
"31","Active","1","Sudan","Cda202","Ethiopia"
"32","Active","1","Sudan","Cda214","Chad"
"33","Active","1","South Sudan","Cda318","Chad"
"34","Active","1","Sudan","Cda440","Chad"
"35","Active","1","South Sudan","Cda328","Chad"
"36","Active","1","Sudan","Cda350","Chad"
"37","Active","1","Sudan","Cda197","Chad"
"38","Active","1","Sudan","Cda181","Chad"
"39","Active","1","South Sudan","Cda377","Ethiopia"
"40","Active","1","South Sudan","Cda379","Chad"
"41","Active","1","Sudan","Cda234","Chad"
"42","Active","1","South Sudan","Cda190","Chad"
"43","Active","1","South Sudan","Cda141","Chad"
"44","Active","1","Sudan","Cda452","Ethiopia"
"45","Active","1","Sudan","Cda34","Chad"
"46","Active","1","Sudan","Cda259","Chad"
"47","Active","1","Sudan","Cda50","Chad"
"48","Active","1","Sudan","Cda232","Chad"
"49","Active","1","Sudan","Cda397","Chad"
"50","Active","1","Sudan","Cda335","Ethiopia"
"51","Active","1","Sudan","Cda80","Chad"
"52","Active","1","Sudan","Cda324","Chad"
"53","Active","1","Sudan","Cda477","Chad"
"54","Active","1","Sudan","Cda319","Chad"
"55","Active","1","Sudan","Cda349","Ethiopia"
"56","Active","1","South Sudan","Cda272","Chad"
"57","Active","1","South Sudan","Cda463","Chad"
"58","Active","1","South Sudan","Cda77","Chad"
"59","Active","1","South Sudan","Cda395","Chad"
"60","Active","1","Sudan","Cda4","Chad"
"61","Active","1","Sudan","Cda206","Chad"
"62","Active","1","Sudan","Cda495","Ethiopia"
"63","Active","1","Sudan","Cda400","Chad"
"64","Active","1","Sudan","Cda3","Chad"
"65","Active","1","Sudan","Cda489","Chad"
"66","Active","1","South Sudan","Cda498","Chad"
"67","Active","1","South Sudan","Cda458","Chad"
"68","Active","1","South Sudan","Cda6","Ethiopia"
"69","Active","1","Sudan","Cda223","Ethiopia"
"70","Active","1","Sudan","Cda15","Chad"
"71","Active","1","South Sudan","Cda499","Chad"
"72","Active","1","South Sudan","Cda1","Chad"
"73","Active","1","Sudan","Cda162","Chad"
"74","Active","1","Sudan","Cda242","Chad"
"75","Active","1","Sudan","Cda211","Chad"
"76","Active","1","South Sudan","Cda119","Ethiopia"
"77","Active","1","Sudan","Cda58","Chad"
"78","Active","1","Sudan","Cda333","Chad"
"79","Active","1","Sudan","Cda19","Chad"
"80","Active","1","Sudan","Cda92","Chad"
"81","Active","1","South Sudan","Cda225","Chad"
"82","Active","1","South Sudan","Cda70","Ethiopia"
"83","Active","1","Sudan","Cda365","Chad"
"84","Active","1","South Sudan","Cda264","Chad"
"85","Active","1","Sudan","Cda160","Chad"
"86","Active","1","Sudan","Cda471","Chad"
"87","Active","1","South Sudan","Cda150","Chad"
"88","Active","1","South Sudan","Cda362","Chad"
"89","Active","1","South Sudan","Cda161","Chad"
"90","Active","1","South Sudan","Cda403","Chad"
"91","Active","1","Sudan","Cda199","Chad"
"92","Active","1","Sudan","Cda352","Ethiopia"
"93","Active","1","South Sudan","Cda303","Chad"
"94","Active","1","Sudan","Cda221","Ethiopia"
"95","Active","1","Sudan","Cda97","Ethiopia"
"96","Active","1","Sudan","Cda191","Chad"
"97","Active","1","Sudan","Cda12","Chad"
"98","Active","1","South Sudan","Cda252","Chad"
"99","Active","1","Sudan","Cda132","Chad"
"100","Active","1","Sudan","Cda451","Ethiopia"
"101","Active","1","South Sudan","Cda99","Chad"
"102","Active","1","South Sudan","Cda98","Ethiopia"
"103","Active","1","Sudan","Cda56","Chad"
"104","Active","1","South Sudan","Cda42","Chad"
"105","Active","1","South Sudan","Cda449","Chad"
"106","Active","1","Sudan","Cda494","Chad"
"107","Active","1","South Sudan","Cda314","Ethiopia"
"108","Active","1","Sudan","Cda67","Chad"
"109","Active","1","South Sudan","Cda147","Ethiopia"
"110","Active","1","South Sudan","Cda390","Chad"
"111","Active","1","Sudan","Cda246","Chad"
"112","Active","1","South Sudan","Cda61","Chad"
"113","Active","1","Sudan","Cda48","Ethiopia"
"114","Active","1","South Sudan","Cda176","Chad"
"115","Active","1","Sudan","Cda69","Chad"
"116","Active","1","South Sudan","Cda290","Chad"
"117","Active","1","Sudan","Cda233","Chad"
"118","Active","1","Sudan","Cda157","Chad"
"119","Active","1","South Sudan","Cda13","Ethiopia"
"120","Active","1","Sudan","Cda87","Chad"
"121","Active","1","South Sudan","Cda240","Ethiopia"
"122","Active","1","Sudan","Cda415","Ethiopia"
"123","Active","1","Sudan","Cda215","Chad"
"124","Active","1","Sudan","Cda239","Chad"
"125","Active","1","South Sudan","Cda447","Chad"
"126","Active","1","Sudan","Cda84","Chad"
"127","Active","1","Sudan","Cda497","Chad"
"128","Active","1","Sudan","Cda323","Chad"
"129","Active","1","South Sudan","Cda117","Chad"
"130","Active","1","Sudan","Cda353","Ethiopia"
"131","Active","1","Sudan","Cda143","Chad"
"132","Active","1","Sudan","Cda65","Chad"
"133","Active","1","South Sudan","Cda75","Ethiopia"
"134","Active","1","Sudan","Cda280","Ethiopia"
"135","Active","1","South Sudan","Cda32","Chad"
"136","Active","1","South Sudan","Cda201","Ethiopia"
"137","Active","1","Sudan","Cda332","Chad"
"138","Active","1","Sudan","Cda26","Chad"
"139","Active","1","Sudan","Cda255","Chad"
"140","Active","1","South Sudan","Cda261","Ethiopia"
"141","Active","1","South Sudan","Cda196","Chad"
"142","Active","1","South Sudan","Cda354","Chad"
"143","Active","1","South Sudan","Cda173","Chad"
"144","Active","1","Sudan","Cda364","Ethiopia"
"145","Active","1","South Sudan","Cda445","Chad"
"146","Active","1","South Sudan","Cda47","Chad"
"147","Active","1","South Sudan","Cda459","Chad"
"148","Active","1","Sudan","Cda86","Chad"
"149","Active","1","South Sudan","Cda394","Chad"
"150","Active","1","Sudan","Cda195","Chad"
"151","Active","1","Sudan","Cda229","Ethiopia"
"152","Active","1","South Sudan","Cda38","Chad"
"153","Active","1","South Sudan","Cda414","Ethiopia"
"154","Active","1","Sudan","Cda356","Chad"
"155","Active","1","Sudan","Cda88","Ethiopia"
"156","Active","1","South Sudan","Cda89","Chad"
"157","Active","1","Sudan","Cda275","Chad"
"158","Active","1","South Sudan","Cda269","Chad"
"159","Active","1","Sudan","Cda54","Ethiopia"
"160","Active","1","Sudan","Cda381","Chad"
"161","Active","1","South Sudan","Cda167","Ethiopia"
"162","Active","1","Sudan","Cda295","Chad"
"163","Active","1","Sudan","Cda278","Chad"
"164","Active","1","Sudan","Cda491","Ethiopia"
"165","Active","1","South Sudan","Cda334","Chad"
"166","Active","1","Sudan","Cda342","Chad"
"167","Active","1","South Sudan","Cda329","Chad"
"168","Active","1","Sudan","Cda120","Ethiopia"
"169","Active","1","Sudan","Cda22","Chad"
"170","Active","1","Sudan","Cda301","Chad"
"171","Active","1","South Sudan","Cda327","Chad"
"172","Active","1","South Sudan","Cda258","Chad"
"173","Active","1","Sudan","Cda49","Chad"
"174","Active","1","Sudan","Cda178","Chad"
"175","Active","1","South Sudan","Cda266","Chad"
"176","Active","1","Sudan","Cda444","Chad"
"177","Active","1","Sudan","Cda227","Chad"
"178","Active","1","South Sudan","Cda253","Chad"
"179","Active","1","Sudan","Cda231","Chad"
"180","Active","1","Sudan","Cda23","Chad"
"181","Active","1","South Sudan","Cda407","Ethiopia"
"182","Active","1","Sudan","Cda456","Chad"
"183","Active","1","South Sudan","Cda33","Chad"
"184","Active","1","Sudan","Cda262","Chad"
"185","Active","1","South Sudan","Cda384","Chad"
"186","Active","1","South Sudan","Cda285","Chad"
"187","Active","1","Sudan","Cda153","Chad"
"188","Active","1","South Sudan","Cda483","Chad"
"189","Active","1","South Sudan","Cda490","Chad"
"190","Active","1","South Sudan","Cda474","Ethiopia"
"191","Active","1","Sudan","Cda63","Chad"
"192","Active","1","Sudan","Cda304","Chad"
"193","Active","1","Sudan","Cda423","Chad"
"194","Active","1","Sudan","Cda247","Chad"
